# This file contains the mapping from common PDB names to Glycam residue codes.
# Information obtained from mining the PDB chemical database (components.cif).
# Last updated 11/12/21 12:05:19
#ResName GlycamCode Form Chirality RingType "Name"
64K A A D P "alpha-D-arabinopyranose"
AHR A A L F "alpha-L-arabinofuranose"
ARA A A L P "alpha-L-arabinopyranose"
ARB A B L P "beta-L-arabinopyranose"
AXR A A D F "methyl alpha-D-arabinofuranoside"
BXX A B D F "beta-D-arabinofuranose"
BXY A A D F "alpha-D-arabinofuranose"
FUB A B L F "beta-L-arabinofuranose"
SEJ A B D P "beta-D-arabinopyranose"
LDY D A D P "alpha-D-lyxopyranose"
Z4W D B D P "beta-D-lyxopyranose"
0MK R B L P "beta-L-ribopyranose"
32O R B L F "beta-L-ribofuranose"
BDR R B D F "beta-D-ribofuranose"
RIB R A D F "alpha-D-ribofuranose"
RIP R B D P "beta-D-ribopyranose"
YYM R A D P "alpha-D-ribopyranose"
Z6J R A L F "alpha-L-ribofuranose"
HSY X A L P "alpha-L-xylopyranose"
HSZ X B D P "beta-D-xylopyranose"
LXC X B L P "beta-L-xylopyranose"
XYP X B D P "beta-D-xylopyranose"
XYS X A D P "alpha-D-xylopyranose"
XYZ X B D F "beta-D-xylofuranose"
AFD N A D P "alpha-D-allopyranose"
ALL N B D P "beta-D-allopyranose"
VDS N B D F "beta-D-allofuranose"
VDV N A D F "alpha-D-allofuranose"
WOO N B L P "beta-L-allopyranose"
Z2D N A L P "alpha-L-allopyranose"
3MK E B L P "beta-L-altropyranose"
SHD E A D P "alpha-D-altropyranose"
Z6H E A L P "alpha-L-altropyranose"
GAL L B D P "beta-D-galactopyranose"
GIV L B L P "beta-L-galactopyranose"
GLA L A D P "alpha-D-galactopyranose"
GXL L A L P "alpha-L-galactopyranose"
GZL L B D F "beta-D-galactofuranose"
BGC G B D P "beta-D-glucopyranose"
GLC G A D P "alpha-D-glucopyranose"
GU4 G A D P "2,3,4,6-tetra-O-sulfonato-alpha-D-glucopyranose"
MGL G B D P "methyl beta-D-glucopyranoside"
Z8T G B L P "beta-L-glucopyranose"
4GL K A D P "alpha-D-gulopyranose"
GL0 K B D P "beta-D-gulopyranose"
GUP K A L P "alpha-L-gulopyranose"
Z8H K B L P "beta-L-gulopyranose"
BMA M B D P "beta-D-mannopyranose"
MAN M A D P "alpha-D-mannopyranose"
A5C T A L F "alpha-L-talofuranose"
SDY T B D P "beta-D-talopyranose"
ZEE T B L P "beta-L-talopyranose"
BDF C B D P "beta-D-fructopyranose"
FRU C B D F "beta-D-fructofuranose"
LFR C B L F "beta-L-fructofuranose"
YYJ C B D F "1,3,4,6-tetra-O-sulfo-beta-D-fructofuranose"
Z9N C A D F "alpha-D-fructofuranose"
PSV P A D F "alpha-D-psicofuranose"
SF6 P A L F "alpha-L-psicofuranose"
SF9 P B L F "beta-L-psicofuranose"
TTV P B D F "beta-D-psicofuranose"
SOE B A L P "alpha-L-sorbopyranose"
UEA B B D F "beta-D-sorbofuranose"
T6T J A D P "alpha-D-tagatopyranose"
FCA F A D P "alpha-D-fucopyranose"
FCB F B D P "beta-D-fucopyranose"
FUC F A L P "alpha-L-fucopyranose"
FUL F B L P "beta-L-fucopyranose"
GYE F B D F "beta-D-fucofuranose"
MXY F B L P "2-O-methyl-beta-L-fucopyranose"
MXZ F A L P "2-O-methyl-alpha-L-fucopyranose"
G6D Q A D P "alpha-D-quinovopyranose"
YYK Q B D P "beta-D-quinovopyranose"
RAM H A L P "alpha-L-rhamnopyranose"
RM4 H B L P "beta-L-rhamnopyranose"
XXR H A D P "alpha-D-rhamnopyranose"
ADA O A D P "alpha-D-galactopyranuronic acid"
GTR O B D P "beta-D-galactopyranuronic acid"
BDP Z B D P "beta-D-glucopyranuronic acid"
GCU Z A D P "alpha-D-glucopyranuronic acid"
GCV Z A D P "4-O-methyl-alpha-D-glucopyranuronic acid"
IDR U A L P "alpha-L-idopyranuronic acid"
IDS U A L P "2-O-sulfo-alpha-L-idopyranuronic acid"
A2G V A D P "2-acetamido-2-deoxy-alpha-D-galactopyranose"
ASG V B D P "2-acetamido-2-deoxy-4-O-sulfo-beta-D-galactopyranose"
NG6 V B D P "2-acetamido-2-deoxy-6-O-sulfo-beta-D-galactopyranose"
NGA V B D P "2-acetamido-2-deoxy-beta-D-galactopyranose"
YYQ V A L P "2-acetamido-2-deoxy-alpha-L-galactopyranose"
NAG Y B D P "2-acetamido-2-deoxy-beta-D-glucopyranose"
NDG Y A D P "2-acetamido-2-deoxy-alpha-D-glucopyranose"
NGZ Y A L P "2-acetamido-2-deoxy-alpha-L-glucopyranose"
BM3 W A D P "2-acetamido-2-deoxy-alpha-D-mannopyranose"
BM7 W B D P "2-acetamido-2-deoxy-beta-D-mannopyranose"
SIA S A D P "N-acetyl-alpha-neuraminic acid"
SLB S B D P "N-acetyl-beta-neuraminic acid"

# PDB to glycam atom name maps
V,W,Y C7,C2N  O7,O2N  C8,CME
S     C10,C5N O10,O5N C11,CME
H     C6,C6M,B

# PDB to glycam linkage residue name maps
SER OLS
THR OLT
HYP OLP
ASN NLN
